worker_id,name,skill_set,experience_level,availability,health_status,past_performance,job_sites,productivity_score
1,Kelly Cooke,Heavy Machinery Operation,Beginner,Unavailable,Minor Issues,5,C,3.2
2,Cindy Malone,Electrical,Advanced,Unavailable,Healthy,8,J,9.6
3,Ryan Brown,Landscaping,Beginner,Unavailable,Healthy,1,B,0.8
4,Charles Acosta,Plumbing,Advanced,Unavailable,Major Issues,4,E,2.4
5,Jesse Jackson,Plumbing,Intermediate,Available,Healthy,4,J,4.0
6,Jerry Harris,Flooring,Intermediate,Available,Healthy,4,C,4.0
7,Justin Moore,Electrical,Advanced,Unavailable,Healthy,6,A,7.2
8,Andrew Cole Jr.,HVAC,Beginner,Unavailable,Major Issues,4,B,1.6
9,Ms. Rachael Bailey DVM,Landscaping,Advanced,Unavailable,Minor Issues,1,H,0.96
10,Ruth Yu,Carpentry,Advanced,Unavailable,Healthy,10,I,12.0
11,Jessica Gonzalez,HVAC,Intermediate,Unavailable,Minor Issues,9,I,7.2
12,Christopher Harrison,Roofing,Advanced,Unavailable,Major Issues,8,A,4.8
13,Angela Lewis,Flooring,Advanced,Unavailable,Minor Issues,1,G,0.96
14,Benjamin Cobb,Drywall,Intermediate,Unavailable,Minor Issues,3,G,2.4
15,James Adams,Painting,Advanced,Available,Major Issues,4,I,2.4
16,Alexandra Mcbride,Painting,Beginner,Unavailable,Healthy,10,J,8.0
17,Bianca May,Drywall,Beginner,Unavailable,Minor Issues,6,A,3.84
18,Lori Roberts,Landscaping,Advanced,Available,Healthy,9,B,10.8
19,Samuel Harrison,Carpentry,Intermediate,Unavailable,Healthy,3,H,3.0
20,Katherine Hall,Carpentry,Intermediate,Unavailable,Healthy,6,G,6.0
21,Vicki Johnston,HVAC,Beginner,Available,Healthy,5,J,4.0
22,Miguel Rice,Plumbing,Beginner,Available,Major Issues,9,H,3.6
23,Nicholas Hughes,Drywall,Advanced,Unavailable,Major Issues,4,E,2.4
24,Darrell Alexander,Heavy Machinery Operation,Intermediate,Available,Major Issues,7,D,3.5
25,Michelle Shepherd,Painting,Advanced,Available,Minor Issues,6,C,5.76
26,Amanda Kim,Roofing,Advanced,Unavailable,Minor Issues,10,E,9.6
27,Chad Marsh,Plumbing,Intermediate,Available,Healthy,6,E,6.0
28,John Douglas,Heavy Machinery Operation,Intermediate,Available,Healthy,4,A,4.0
29,Kathryn Richardson,Landscaping,Advanced,Available,Major Issues,7,G,4.2
30,Anthony Lopez,Drywall,Beginner,Available,Minor Issues,9,D,5.76
31,Patricia Lopez,Electrical,Intermediate,Unavailable,Minor Issues,1,I,0.8
32,Ruth Payne,Painting,Advanced,Available,Healthy,9,A,10.8
33,Kevin Johnson,Carpentry,Beginner,Unavailable,Healthy,2,D,1.6
34,Heather Pineda,Plumbing,Beginner,Available,Major Issues,2,I,0.8
35,Tracey Valencia,Roofing,Advanced,Available,Major Issues,8,D,4.8
36,Brenda Smith,HVAC,Intermediate,Available,Healthy,5,H,5.0
37,Todd Yoder,Roofing,Intermediate,Unavailable,Major Issues,5,B,2.5
38,Calvin Powell,HVAC,Advanced,Unavailable,Healthy,5,D,6.0
39,Ms. Christina Stokes,Painting,Beginner,Available,Minor Issues,10,C,6.4
40,Robert Harding,Plumbing,Intermediate,Available,Healthy,9,B,9.0
41,Andrea Sanchez,Drywall,Beginner,Available,Minor Issues,6,C,3.84
42,Elizabeth Campbell,Plumbing,Advanced,Available,Healthy,6,E,7.2
43,Andrew Ford MD,Landscaping,Advanced,Available,Minor Issues,1,F,0.96
44,Jason Miles,Painting,Advanced,Available,Major Issues,10,F,6.0
45,James Lindsey,Electrical,Beginner,Unavailable,Minor Issues,2,J,1.28
46,George Jackson,Roofing,Beginner,Available,Major Issues,6,C,2.4
47,Andrew Humphrey,Roofing,Advanced,Unavailable,Minor Issues,7,J,6.72
48,Michelle Gray,Landscaping,Advanced,Available,Major Issues,7,A,4.2
49,Laura Chavez,Electrical,Advanced,Available,Minor Issues,8,G,7.68
50,Brandi Perez,Painting,Beginner,Unavailable,Major Issues,9,A,3.6
51,Beth Gardner,Electrical,Beginner,Unavailable,Major Issues,8,A,3.2
52,Lauren Cox,HVAC,Intermediate,Unavailable,Major Issues,1,D,0.5
53,Ashley Walker,Flooring,Advanced,Unavailable,Healthy,6,B,7.2
54,Brenda Stewart,Landscaping,Advanced,Available,Major Issues,1,E,0.6
55,Todd Jenkins,Heavy Machinery Operation,Advanced,Available,Minor Issues,9,D,8.64
56,Daniel Greene,Roofing,Beginner,Available,Minor Issues,4,F,2.56
57,Elizabeth Scott,Flooring,Intermediate,Available,Major Issues,3,B,1.5
58,Lisa Schmidt,HVAC,Beginner,Unavailable,Healthy,8,D,6.4
59,Brittany Smith,Flooring,Beginner,Unavailable,Minor Issues,6,J,3.84
60,Michael Ponce,Plumbing,Beginner,Unavailable,Healthy,5,E,4.0
61,Allen Sexton,Carpentry,Intermediate,Unavailable,Major Issues,1,J,0.5
62,Michelle Flores,Drywall,Advanced,Available,Minor Issues,3,E,2.88
63,Mariah Summers,Carpentry,Intermediate,Available,Healthy,5,B,5.0
64,Francisco Baker,Painting,Beginner,Available,Major Issues,4,A,1.6
65,Jessica Miller,Plumbing,Beginner,Unavailable,Healthy,9,F,7.2
66,Shawn Smith,Painting,Intermediate,Unavailable,Major Issues,4,C,2.0
67,Emily Adams,Roofing,Intermediate,Unavailable,Major Issues,8,B,4.0
68,Kathy Houston DVM,Heavy Machinery Operation,Beginner,Available,Major Issues,5,E,2.0
69,David Phillips,Drywall,Advanced,Available,Minor Issues,6,E,5.76
70,Traci Foley,Landscaping,Advanced,Unavailable,Minor Issues,10,I,9.6
71,Alexandra Young,Landscaping,Intermediate,Available,Minor Issues,1,C,0.8
72,Melissa Rivers,HVAC,Advanced,Unavailable,Healthy,8,F,9.6
73,Daniel Garner,Drywall,Beginner,Unavailable,Major Issues,7,D,2.8
74,Anthony Moon,Flooring,Intermediate,Available,Healthy,10,I,10.0
75,James Campos,Electrical,Beginner,Unavailable,Healthy,1,H,0.8
76,David Velasquez,Carpentry,Advanced,Available,Major Issues,9,C,5.4
77,Tammy Watts,HVAC,Beginner,Unavailable,Minor Issues,2,H,1.28
78,Megan Martin,Drywall,Beginner,Available,Minor Issues,1,C,0.64
79,John Hayden,Landscaping,Beginner,Unavailable,Healthy,10,E,8.0
80,Kimberly Moore,Landscaping,Advanced,Available,Major Issues,5,A,3.0
81,Colin Howell,Flooring,Intermediate,Unavailable,Major Issues,10,B,5.0
82,Tyler Conley,Landscaping,Advanced,Available,Major Issues,3,H,1.8
83,Crystal Holloway,Landscaping,Beginner,Unavailable,Minor Issues,5,B,3.2
84,Kyle Wells,Plumbing,Beginner,Unavailable,Healthy,1,E,0.8
85,Sheryl Phillips,Electrical,Advanced,Available,Minor Issues,6,E,5.76
86,Jennifer White,Flooring,Advanced,Available,Minor Issues,7,D,6.72
87,Alexander Donovan,Electrical,Beginner,Unavailable,Major Issues,4,H,1.6
88,Brooke Stevens,Carpentry,Beginner,Available,Major Issues,4,G,1.6
89,Andrew Booker,HVAC,Intermediate,Unavailable,Healthy,10,I,10.0
90,William Dalton,Landscaping,Advanced,Unavailable,Major Issues,7,F,4.2
91,Tyler Gonzalez,Drywall,Beginner,Unavailable,Healthy,8,D,6.4
92,Ricky Lyons,Drywall,Beginner,Available,Major Issues,4,D,1.6
93,Christina Hampton,Roofing,Beginner,Unavailable,Healthy,3,J,2.4
94,Vanessa Pearson,Drywall,Intermediate,Unavailable,Minor Issues,6,D,4.8
95,Paul Campbell,Flooring,Beginner,Unavailable,Major Issues,5,E,2.0
96,Jessica Davenport,Landscaping,Beginner,Unavailable,Minor Issues,4,D,2.56
97,Robert Ortiz,Electrical,Intermediate,Unavailable,Healthy,6,D,6.0
98,Melanie Powers,Landscaping,Intermediate,Unavailable,Major Issues,3,C,1.5
99,Carol Brooks,Electrical,Beginner,Available,Major Issues,4,C,1.6
100,Jacqueline Johnson,Painting,Intermediate,Unavailable,Minor Issues,10,G,8.0
101,Thomas Harrell,Heavy Machinery Operation,Intermediate,Available,Minor Issues,10,H,8.0
102,John Lowe,Painting,Beginner,Unavailable,Minor Issues,4,D,2.56
103,Gary Jones,Flooring,Intermediate,Available,Major Issues,2,E,1.0
104,Shane Diaz,Landscaping,Beginner,Available,Healthy,6,A,4.8
105,Alexis Romero,Landscaping,Beginner,Available,Minor Issues,3,D,1.92
106,David Robertson,Painting,Intermediate,Available,Major Issues,9,D,4.5
107,Kathleen Simon,Heavy Machinery Operation,Advanced,Unavailable,Major Issues,8,G,4.8
108,Samantha Lynn,Painting,Beginner,Unavailable,Major Issues,10,G,4.0
109,Mark Carpenter,Plumbing,Beginner,Unavailable,Minor Issues,8,J,5.12
110,Kendra Nichols,HVAC,Intermediate,Unavailable,Major Issues,5,B,2.5
111,Randy Dougherty,Heavy Machinery Operation,Advanced,Unavailable,Minor Issues,3,D,2.88
112,Megan Williams,Roofing,Beginner,Available,Minor Issues,2,A,1.28
113,Charles Bush,Carpentry,Intermediate,Unavailable,Healthy,2,H,2.0
114,Nathan Johnson,Flooring,Intermediate,Unavailable,Major Issues,8,A,4.0
115,Eric Sims,Electrical,Beginner,Unavailable,Minor Issues,1,J,0.64
116,Mrs. Annette Martin,Painting,Intermediate,Available,Healthy,9,C,9.0
117,John Little,HVAC,Advanced,Unavailable,Minor Issues,4,I,3.84
118,James Davis,HVAC,Intermediate,Unavailable,Healthy,10,A,10.0
119,John Williams,Flooring,Advanced,Unavailable,Major Issues,6,J,3.6
120,Bridget Stein,Heavy Machinery Operation,Beginner,Available,Major Issues,3,H,1.2
121,Patricia Smith,Roofing,Intermediate,Unavailable,Major Issues,7,B,3.5
122,Danielle Campbell,Electrical,Advanced,Available,Healthy,4,A,4.8
123,Michelle Gilbert,Flooring,Advanced,Available,Healthy,2,F,2.4
124,Terri Johnson,Plumbing,Beginner,Unavailable,Minor Issues,7,G,4.48
125,Michael Bush,Landscaping,Intermediate,Unavailable,Minor Issues,7,D,5.6
126,Amy Hamilton,Painting,Beginner,Unavailable,Healthy,1,E,0.8
127,Courtney Stuart,Flooring,Beginner,Unavailable,Healthy,8,D,6.4
128,John Bryant,Electrical,Intermediate,Unavailable,Major Issues,3,H,1.5
129,Matthew Edwards,Drywall,Beginner,Unavailable,Healthy,1,G,0.8
130,Denise Lee,HVAC,Beginner,Available,Healthy,6,E,4.8
131,Bethany Warner,Electrical,Intermediate,Unavailable,Minor Issues,9,E,7.2
132,Lindsay Brown,Heavy Machinery Operation,Beginner,Available,Minor Issues,5,A,3.2
133,Michael Holt,HVAC,Advanced,Unavailable,Healthy,6,J,7.2
134,Teresa Flowers,HVAC,Intermediate,Unavailable,Minor Issues,6,G,4.8
135,Samantha Pugh,Flooring,Beginner,Unavailable,Major Issues,2,I,0.8
136,Veronica Bennett,Electrical,Intermediate,Unavailable,Minor Issues,5,C,4.0
137,Mr. William Tucker MD,Flooring,Advanced,Unavailable,Major Issues,10,B,6.0
138,Mary Lester,Flooring,Advanced,Available,Minor Issues,7,C,6.72
139,Mr. Kenneth Morales,Drywall,Beginner,Available,Minor Issues,9,J,5.76
140,Daniel Evans,Landscaping,Intermediate,Available,Minor Issues,7,F,5.6
141,Victoria Knox,Heavy Machinery Operation,Intermediate,Available,Major Issues,9,E,4.5
142,Matthew Houston,Flooring,Advanced,Available,Major Issues,8,D,4.8
143,Jacqueline Rios,Painting,Beginner,Unavailable,Minor Issues,4,C,2.56
144,Megan Preston,Plumbing,Advanced,Unavailable,Minor Issues,1,C,0.96
145,Melanie Taylor,Heavy Machinery Operation,Intermediate,Unavailable,Major Issues,4,A,2.0
146,Leon Richardson,Roofing,Beginner,Unavailable,Minor Issues,8,F,5.12
147,Sarah Madden,Electrical,Advanced,Unavailable,Major Issues,3,B,1.8
148,Gary Daniel,Landscaping,Intermediate,Unavailable,Major Issues,8,H,4.0
149,Karina Hale,Flooring,Intermediate,Unavailable,Major Issues,7,F,3.5
150,Zachary Obrien,Plumbing,Beginner,Unavailable,Minor Issues,8,E,5.12
151,Tiffany Gregory,Electrical,Beginner,Available,Minor Issues,9,J,5.76
152,Lauren Brown,Plumbing,Intermediate,Available,Healthy,10,B,10.0
153,Lisa Scott,HVAC,Advanced,Unavailable,Healthy,6,J,7.2
154,Kathryn Hendricks,Plumbing,Intermediate,Available,Major Issues,6,I,3.0
155,Carol Morgan,Carpentry,Beginner,Available,Healthy,7,B,5.6
156,Connor Phillips,Roofing,Advanced,Available,Major Issues,5,H,3.0
157,Kevin Edwards,Roofing,Beginner,Available,Major Issues,4,C,1.6
158,Gina Burke,Plumbing,Intermediate,Unavailable,Minor Issues,10,J,8.0
159,Theresa Pollard,Plumbing,Beginner,Unavailable,Healthy,6,C,4.8
160,Ryan James,Roofing,Beginner,Available,Minor Issues,4,G,2.56
161,Nathan Campos,Flooring,Advanced,Unavailable,Major Issues,2,G,1.2
162,Emma White,Carpentry,Advanced,Available,Minor Issues,1,H,0.96
163,Jared Wilson,HVAC,Intermediate,Unavailable,Minor Issues,5,E,4.0
164,Tammie White,Flooring,Beginner,Unavailable,Healthy,1,D,0.8
165,Devin Gallagher,Flooring,Advanced,Available,Major Issues,10,A,6.0
166,Jessica Roberts,Electrical,Beginner,Unavailable,Major Issues,9,B,3.6
167,Cheyenne Sullivan,Plumbing,Advanced,Available,Healthy,5,G,6.0
168,Terri Johnson,Painting,Intermediate,Available,Major Issues,4,G,2.0
169,Emily Camacho,Heavy Machinery Operation,Beginner,Available,Minor Issues,3,D,1.92
170,Cheryl West,Drywall,Beginner,Available,Major Issues,5,I,2.0
171,Monica Johnston,Drywall,Advanced,Unavailable,Minor Issues,5,I,4.8
172,Danielle Williams DVM,Plumbing,Advanced,Available,Minor Issues,1,I,0.96
173,Jeffrey Young,HVAC,Advanced,Available,Minor Issues,2,A,1.92
174,Nancy Melton,Roofing,Intermediate,Available,Major Issues,6,H,3.0
175,Christina Cruz,Painting,Advanced,Available,Healthy,5,J,6.0
176,Leslie Foster,Electrical,Beginner,Available,Minor Issues,3,B,1.92
177,Amanda Monroe,Painting,Intermediate,Unavailable,Minor Issues,4,J,3.2
178,Stephanie Clay,HVAC,Beginner,Unavailable,Healthy,2,C,1.6
179,Shelly Wells,Roofing,Intermediate,Unavailable,Healthy,5,D,5.0
180,James Turner,Drywall,Advanced,Unavailable,Major Issues,9,G,5.4
